ID,Term,Definition (English),Alignment with Battery Passport,Category,용어,정의,배터리 여권 정렬,범주,المصطلح,التعريف,المحاذاة مع جواز السفر للبطارية,الفئة,用語,定義,バッテリーパスポートの整合性,カテゴリ,术语,定义,电池护照一致性,类别,ID
400043,Anode-Free Battery Design,"Battery design omitting traditional anode, enhancing energy density and reducing materials use.",Sustainability - Material Efficiency,Design Innovation,무양극 배터리 설계,에너지 밀도를 높이고 자재 사용을 줄이기 위해 전통적인 양극이 없는 배터리 설계입니다.,지속 가능성 - 자재 효율성,디자인 혁신,تصميم بطارية خالية من القطب السالب,تصميم البطارية بدون أنود,الاستدامة - التوريد الأخلاقي,الامتثال,サプライチェーンのデューデリジェンス,サプライチェーンのデューデリジェンス,持続可能性 - 倫理的な調達,コンプライアンス,供应链尽职调查,供应链尽职调查,可持续性 - 伦理采购,合规,400001
400055,Automated Battery Testing,Automated systems for testing battery quality and performance.,Automated Quality Assessment,Performance Testing,자동화된 배터리 테스트,배터리 품질 및 성능을 테스트하기 위한 자동화된 시스템입니다.,자동화된 품질 평가,성능 테스트,اختبار البطارية الآلي,أنظمة آلية لاختبار جودة البطارية وأدائها.,السمة الأساسية للبطارية,التتبع,トレーサビリティID,追跡ID,コアバッテリー属性,トレーサビリティ,可追溯性标识,可追溯性ID,核心电池特性,可追溯性,400002
400019,Battery Age Estimation,Algorithm for estimating battery age based on usage and condition.,Battery Aging Analysis,Data Management,배터리 연령 추정,사용 및 상태를 기반으로 배터리 연령을 추정하는 알고리즘입니다.,배터리 노후화 분석,데이터 관리,تقدير عمر البطارية,خوارزمية لتقدير عمر البطارية بناءً على الاستخدام والحالة.,الاستدامة - معايير الانبعاثات,الامتثال,排出管理規制の遵守,排出制御のコンプライアンス,持続可能性 - 排出基準,コンプライアンス,排放控制合规性,排放控制合规,可持续性 - 排放标准,合规,400003
400105,Battery Assembly Traceability,Traceability of components and processes involved in battery assembly.,Assembly Traceability,Traceability,배터리 조립 추적성,배터리 조립에 관련된 구성 요소 및 프로세스의 추적성입니다.,조립 추적성,추적성,تتبع تجميع البطارية,تتبع المكونات والعمليات المتورطة في تجميع البطارية.,الوحدة 7 - التتبع,التتبع,製造トレーサビリティ,バッテリー材料の生産履歴と出所を追跡する。,モジュール7 - トレーサビリティ,トレーサビリティ,制造追溯,追踪电池材料的生产历史和来源。,模块7 - 可追溯性,可追溯性,400004
400057,Battery Capacity Measurement,"Measurement of battery capacity, critical for energy storage assessment.",Capacity Standard,Core Battery Attribute,배터리 용량 측정,에너지 저장 평가에 중요한 배터리 용량을 측정합니다.,용량 표준,핵심 배터리 속성,قياس سعة البطارية,قياس سعة البطارية، وهو أمر بالغ الأهمية لتقييم تخزين الطاقة.,الاستدامة - الشفافية,الامتثال,ソーシングの透明性,バッテリー材料の調達慣行の透明度の程度。,持続可能性 - 透明性,コンプライアンス,采购透明度,电池材料采购实践的透明度。,可持续性 - 透明性,合规,400005
400104,Battery Cell Identification,Identification methods for individual battery cells within packs.,Cell Identification,Traceability,배터리 셀 식별,배터리 팩 내 개별 배터리 셀의 식별 방법입니다.,셀 식별,추적성,تحديد خلايا البطارية,طرق تعريف الخلايا الفردية داخل حزم البطاريات.,متطلبات الشهادة,الامتثال,バッテリー認証,バッテリーが安全、環境、性能基準を満たしていることを保証する認証。,認証要件,コンプライアンス,电池认证,确保电池符合安全、环境和性能标准的认证。,认证要求,合规,400006
400006,Battery Certification,"Certification ensuring the battery meets safety, environmental, and performance standards.",Certification Requirement,Compliance,배터리 인증,"배터리가 안전, 환경 및 성능 기준을 충족하도록 인증합니다.",인증 요건,준수,شهادة البطارية,شهادة تضمن أن البطارية تلبي معايير السلامة والبيئة والأداء.,معايير المواد الخطرة,معايير السلامة,有害物質規制の遵守,バッテリーでの有害物質使用制限基準への準拠。,有害物質基準,安全基準,危险材料合规性,符合限制电池中有害物质使用的标准。,有害物质标准,安全标准,400007
400067,Battery Charging Profile,Profiles outlining the charging characteristics of the battery.,Charging Profile,Performance Testing,배터리 충전 프로파일,배터리의 충전 특성을 설명하는 프로파일입니다.,충전 프로파일,성능 테스트,ملف شحن البطارية,الملفات الشخصية التي تحدد خصائص الشحن للبطارية.,معايير المركبات الكهربائية,الامتثال,電気自動車用バッテリースタンダード,電気自動車用バッテリー要件を特に対象とした基準。,電気自動車基準,コンプライアンス,电动车电池标准,专门针对电动汽车电池要求的标准。,电动车标准,合规,400008
400099,Battery Chemistry Traceability,Tracking and recording battery chemical components' origin and production history.,Chemistry and Material Traceability,Traceability,배터리 화학적 추적성,배터리 화학 성분의 출처 및 생산 이력을 추적 및 기록합니다.,화학 및 재료 추적성,추적성,تتبع كيمياء البطارية,تتبع وتسجيل مصدر المكونات الكيميائية للبطارية وتاريخ الإنتاج.,معايير كفاءة البطارية,السمة الأساسية للبطارية,エネルギー密度,容量と効率に影響を与える重量または体積単位あたりのエネルギー貯蔵の測定,バッテリー効率基準,コアバッテリー属性,能量密度,影响容量和效率的每单位重量或体积的能量存储测量,电池效率标准,核心电池特性,400009
400034,Battery Circularity,"Indicates battery components' participation in a closed-loop supply chain, promoting sustainability.",Sustainability - Circular Economy,Sustainability Standards,배터리 순환성,지속 가능성을 촉진하기 위해 폐쇄형 공급망에서 배터리 부품의 순환을 나타냅니다.,지속 가능성 - 순환 경제,지속 가능성 표준,دورية البطارية,الدائرية للبطارية,السمة الأساسية للبطارية,المادة الأساسية,カソード活性材料,エネルギー貯蔵とバッテリーの化学に重要なカソードの主要材料。,コアバッテリー属性,コア材料,正极活性材料,电池阴极中的关键材料，对于能量存储和电池化学至关重要。,核心电池属性,核心材料,400011
